Sno.,UID,Bush,Group,Last I.O Raised,Category,Stock Location
1181,IVBP0090C05-HD - 9 X 5C (HD) - PB - VBP,PB,VBP,U3- B- 374-2(18/011),VBP - C,41B-10.3
1182,IVBP0090C06-S - 9 X 6C (S) - PB - VBP,PB,VBP,U2 - 237  - 2(17/11),VBP - C,41B-10.4
1185,IVBP0100C01-P - 10 X 1C (Plate) - PB - VBP,PB,VBP,B-593-2(20/12),VBP - C,41D-10.3
1188,IVBP0100C02-P - 10 X 2C (Plate) - PB - VBP,PB,VBP,U1- 13PCS,VBP - C,41D-10.4
1190,IVBP0100C02-A - 10 X 2C(Arm) - PB - VBP,PB,VBP,B-503-5(08/12)(5 IN 27/12 CS),VBP - C,41D-10.5
1191,IVBP0100C03-P - 10 X 3C (Plate) - PB - VBP,PB,VBP,B-503-3(08/12),VBP - C,41D-10.6
1196,IVBP0100C04-P - 10 X 4C (Plate) - PB - VBP,PB,VBP,B-501-5(08/12)(5 IN 28/12 CS),VBP - C,41C-10.1
1197,IVBP0100C04-A - 10 X 4C (Arm) - PB - VBP,PB,VBP,B-501-5(08/12)(5 IN 28/12 CS),VBP - C,41C-10.2
1198,IVBP0100C04-S - 10 X 4C (S) - PB - VBP,PB,VBP,B-489-5(06/12),VBP - C,41B-20.2
1199,IVBP0100C05-P - 10 X 5C (Plate) - PB - VBP,PB,VBP,B-501-5(08/12)(5 IN 28/12 CS),VBP - C,41C-10.4
1200,IVBP0100C05-S - 10 X 5C (S) - PB - VBP,PB,VBP,B-500-2(08/12),VBP - C,41B-20.3
1203,IVBP0110C01-A - 11 X 1C (Arm) - PB - VBP,PB,VBP,B-503-1(08/12)(1 IN 27/12 CS),VBP - C,41C-10.4
1206,IVBP0110C03-A - 11 X 3C(Arm) - PB - VBP,PB,VBP,U2-233-2(17/11),VBP - C,41C-10.5
1209,IVBP0110C04-P - 11 X 4C (Plate) - PB - VBP,PB,VBP,U2-232-1(17/11),VBP - C,41D-20.1
1215,IVBP0120C02-P - 12 X 2C (Plate) - PB - VBP,PB,VBP,B-502(08/12)(5 IN 28/12 CS),VBP - C,41D-20.2
1216,IVBP0120C02-A - 12 X 2C(Arm) - PB - VBP,PB,VBP,U1- 11PCS,VBP - C,41D-20.3
1217,IVBP0120C03-P - 12 X 3C (Plate)  - PB - VBP,PB,VBP,U2-231-3(17/11),VBP - C,41D-20.4
1218,IVBP0120C03-A - 12 X 3C(Arm) - PB - VBP,PB,VBP,B-231-3(3/11),VBP - C,41D-20.5
1221,IVBP0120C05-P - 12 X 5C (Plate) - PB - VBP,PB,VBP,U2-235-3(17/11),VBP - C,41C-20.3
1222,IVBP0120C06-P - 12 X 6C (Plate) - PB - VBP,PB,VBP,U1- 2PCS,VBP - C,41C-20.4
1224,IVBP0130C02-P - 13 X 2C (Plate) - PB - VBP,PB,VBP,U1- 4PCS,VBP - C,42D-20.1
1225,IVBP0130C02-A - 13 X 2C(Arm) - PB - VBP,PB,VBP,U1- 7PCS,VBP - C,42D-20.2
1226,IVBP0130C03-P - 13 X 3C (Plate) - PB - VBP,PB,VBP,U1- 3PCS,VBP - C,42D-20.3
1227,IVBP0130C04-P - 13 X 4C (Plate) - PB - VBP,PB,VBP,U1- 2PCS,VBP - C,42C-20.1
1228,IVBP0130C05-P - 13 X 5C (Plate) - PB - VBP,PB,VBP,B-502-1(08/12)(1 IN 28/12 CS),VBP - C,42C-20.2
1231,IVBP0140C02-A - 14 X 2C(Arm) - PB - VBP,PB,VBP,U1- 4 PCS,VBP - C,42C-20.3
1232,IVBP0140C02-P - 14 X 2C (Plate) - PB - VBP,PB,VBP,U1- 2  PCS,VBP - C,42B-20.1
1233,IVBP0140C03-A - 14 X 3C(Arm) - PB - VBP,PB,VBP,B-562-5(17/12)(5 IN 28/12 CS),VBP - C,42B-20.1
1234,IVBP0140C03-P - 14 X 3C (Plate) - PB - VBP,PB,VBP,B-584-3(20/12)(3 IN 28/12 CS),VBP - C,42A-20.1
1237,IVBP0140C04-P - 14 X 4C (Plate) - PB - VBP,PB,VBP,B-657-2(31/12),VBP - C,42A-20.2
1239,IVBP0140C06-P - 14 X 6C (Plate) - PB - VBP,PB,VBP,B-657-1(31/12),VBP - C,42A-20.4
1243,IVBP0150C03-P - 15 X 3C (Plate) - PB - VBP,PB,VBP,U2-222-4(08/11),VBP - C,42A-10.1
1244,IVBP0150C04-P - 15 X 4C (Plate) - PB - VBP,PB,VBP,U2-222-1(08/11),VBP - C,42A-10.2
1248,IVBP0160C03-A - 16 X 3C(Arm) - PB - VBP,PB,VBP,U2-223-2(08/11),VBP - C,43C-10.1
1255,IVBP0160C06-P - 16 X 6C (Plate) - PB - VBP,PB,VBP,U2-225-1(08/11),VBP - C,43B-10.3
1257,IVBP0180C02-P - 18 X 2C (Plate) - PB - VBP,PB,VBP,U2-226-2(08/11),VBP - C,43A-10.1
1258,IVBP0180C02-A - 18 X 2C(Arm) - PB - VBP,PB,VBP,U1- 3PCS,VBP - C,43A-10.2
1259,IVBP0180C03-P - 18 X 3C Plate - PB - VBP,PB,VBP,U1- 5PCS,VBP - C,43A-10.3
1260,IVBP0180C03-A - 18 X 3C Arm - PB - VBP,PB,VBP,U2-226-2(08/11),VBP - C,43C-20.1
1262,IVBP0180C04-A - 18 X 4C (Arm) - PB - VBP,PB,VBP,B-603-2(23/12),VBP - C,43C-20.2
1265,IVBP0180C05-P - 18 X 5C (Plate) - PB - VBP,PB,VBP,U2-227-2(08/11),VBP - C,43B-20.1
1266,IVBP0180C06-P - 18 X 6C (Plate) - PB - VBP,PB,VBP,U2-228-1(08/11),VBP - C,43B-20.2
1269,IVBP0200C03-P - 20 X 3C (Plate) - PB - VBP,PB,VBP,U1- 6PCS,VBP - C,43A-20.1
1270,IVBP0200C03-A - 20 X 3C(Arm) - PB - VBP,PB,VBP,U1- 6PCS,VBP - C,43A-20.2
1273,IVBP0200C05-P - 20 X 5C (Plate) - PB - VBP,PB,VBP,U2-230-2(08/11),VBP - C,44C-20.1
1274,IVBP0200C05-A - 20 X 5C(Arm) - PB - VBP,PB,VBP,B-505-2(09/12)(1 IN 27/12 CS),VBP - C,44C-20.2
1275,IVBP0200C06-P - 20 X 6C (Plate) - PB - VBP,PB,VBP,U2-230-2(08/11),VBP - C,44C-20.3
1276,IVBP0220C02-A - 22 X 2C(Arm) - PB - VBP,PB,VBP,U1- 4PCS,VBP - C,41A-10.1
1277,IVBP0220C02-P - 22 X 2C (Plate) - PB - VBP,PB,VBP,U1- 2PCS,VBP - C,41A-10.2
1278,IVBP0220C03-A - 22 X 3C(Arm) - PB - VBP,PB,VBP,B-594-1(20/12),VBP - C,41A-10.3
1279,IVBP0220C03-P - 22 X 3C (Plate) - PB - VBP,PB,VBP,U2-230-1(08/11),VBP - C,41A-10.4
1283,IVBP0220C06-P - 22 X 6C (Plate) - PB - VBP,PB,VBP,U2-219-1(08/11),VBP - C,41A-10.6
1284,IVBP0240C02-A - 24 X 2C(Arm) - PB - VBP,PB,VBP,U2-220-2(08/11),VBP - C,41A-10.7
1285,IVBP0240C02-P - 24 X 2C (Plate) - PB - VBP,PB,VBP,U2-221-3(08/11),VBP - C,41A-20.1
1286,IVBP0240C03-P - 24 X 3C (Plate) - PB - VBP,PB,VBP,U2-220-2(08/11),VBP - C,41A-20.2
1287,IVBP0240C03-A - 24 X 3C(Arm) - PB - VBP,PB,VBP,U2-219-1(08/11),VBP - C,41A-20.3
1289,IVBP0240C04-P - 24 X 4C (Plate) - PB - VBP,PB,VBP,U2-219-2(08/11),VBP - C,41A-20.4
1291,IVBP0240C05-P - 24 X 5C (Plate) - PB - VBP,PB,VBP,U1- 2PCS,VBP - C,41A-20.5
1315,BTLB1108B028 - 1108 x 28 -  - BUSH,,BUSH,,1108,49E-20.1
1317,BTLB1210B014 - 1210 x 14 -  - BUSH,,BUSH,,1210,49C-20
1320,BTLB1210B022 - 1210 x 22 -  - BUSH,,BUSH,,1210,
1321,BTLB1210B024 - 1210 x 24 -  - BUSH,,BUSH,,1210,49E-20
1323,BTLB1210B028 - 1210 x 28 -  - BUSH,,BUSH,,1210,49D-30.1
1327,BTLB1610B014 - 1610 x 14 -  - BUSH,,BUSH,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,1610,49C-30.2
1328,BTLB1610B019 - 1610 x 19 -  - BUSH,,BUSH,,1610,49B-30
1329,BTLB1610B020 - 1610 x 20 -  - BUSH,,BUSH,,1610,49A-30
1330,BTLB1610B024 - 1610 x 24 -  - BUSH,,BUSH,,1610,50E-30
1332,BTLB1610B028 - 1610 x 28 -  - BUSH,,BUSH,,1610,50C-30
1336,BTLB1610B035 - 1610 x 35 -  - BUSH,,BUSH,,1610,50E-20
1337,BTLB1610B038 - 1610 x 38 -  - BUSH,,BUSH,,1610,50D-20
1338,BTLB1610B040 - 1610 x 40 -  - BUSH,,BUSH,,1610,50C-20
1339,BTLB1610B042 - 1610 x 42 -  - BUSH,,BUSH,,1610,50B-20
1340,BTLB1615B0PB - 1615 x P/B -  - BUSH,,BUSH,,1615,57B-10.4
1342,BTLB1615B032 - 1615 x 32 -  - BUSH,,BUSH,,1615,57B-10.3
1351,BTLB2012B025 - 2012 x 25 -  - BUSH,,BUSH,,2012,50B-10
1352,BTLB2012B028 - 2012 x 28 -  - BUSH,,BUSH,,2012,50A-10
1354,BTLB2012B032 - 2012 x 32 -  - BUSH,,BUSH,,2012,51D-10
1356,BTLB2012B038 - 2012 x 38 -  - BUSH,,BUSH,,2012,51B-10
1363,BTLB2517B019 - 2517 x 19 -  - BUSH,,BUSH,,2517,51E-30
1364,BTLB2517B020 - 2517 x 20 -  - BUSH,,BUSH,,2517,51D-30
1366,BTLB2517B025 - 2517 x 25 -  - BUSH,,BUSH,,2517,51B-30
1369,BTLB2517B030 - 2517 x 30 -  - BUSH,,BUSH,,2517,52E-30
1370,BTLB2517B032 - 2517 x 32 -  - BUSH,,BUSH,,2517,52D-30
1371,BTLB2517B035 - 2517 x 35 -  - BUSH,,BUSH,,2517,52C-30
1372,BTLB2517B038 - 2517 x 38 -  - BUSH,,BUSH,,2517,52B-30
1373,BTLB2517B040 - 2517 x 40 -  - BUSH,,BUSH,,2517,52A-30
1374,BTLB2517B042 - 2517 x 42 -  - BUSH,,BUSH,,2517,52E-20
1376,BTLB2517B048 - 2517 x 48 -  - BUSH,,BUSH,,2517,52C-20
1377,BTLB2517B050 - 2517 x 50 -  - BUSH,,BUSH,,2517,52B-20
1378,BTLB2517B055 - 2517 x 55 -  - BUSH,,BUSH,,2517,52A-20
1379,BTLB2517B060 - 2517 x 60 -  - BUSH,,BUSH,,2517,52E-10
1383,BTLB2525B038 - 2525 x 38 -  - BUSH,,BUSH,,2525,52D-10.3
1384,BTLB2525B042 - 2525 x 42 -  - BUSH,,BUSH,,2525,42D-10.4
1385,BTLB2525B045 - 2525 x 45 -  - BUSH,,BUSH,,2525,52D-10.6
1386,BTLB2525B048 - 2525 x 48 -  - BUSH,,BUSH,,2525,52D-10.5
1387,BTLB2525B050 - 2525 x 50 -  - BUSH,,BUSH,,2525,52D-10.7
1388,BTLB2525B060 - 2525 x 60 -  - BUSH,,BUSH,,2525,52D-10.8
1389,BTLB3020B0PB - 3020 x P/B -  - BUSH,,BUSH,,3020,52C-10
1391,BTLB3020B035 - 3020 x 35 -  - BUSH,,BUSH,,3020,52B-10.1
1392,BTLB3020B038 - 3020 x 38 -  - BUSH,,BUSH,,3020,52A-10.1
1393,BTLB3020B040 - 3020 x 40 -  - BUSH,,BUSH,,3020,52A-10.2
1394,BTLB3020B042 - 3020 x 42 -  - BUSH,,BUSH,,3020,53E-10
1396,BTLB3020B048 - 3020 x 48 -  - BUSH,,BUSH,,3020,53C-10
1397,BTLB3020B050 - 3020 x 50 -  - BUSH,,BUSH,,3020,53B-10
1399,BTLB3020B055 - 3020 x 55 -  - BUSH,,BUSH,,3020,53A-10
1400,BTLB3020B060 - 3020 x 60 -  - BUSH,,BUSH,,3020,53D-20
1404,BTLB3030B0PB - 3030 x P/B -  - BUSH,,BUSH,,3030,53A-20
1405,BTLB3030B042 - 3030 x 42 -  - BUSH,,BUSH,,3030,57A-10.1
1408,BTLB3030B055 - 3030 x 55 -  - BUSH,,BUSH,,3030,57C-10.1
1409,BTLB3030B060 - 3030 x 60 -  - BUSH,,BUSH,,3030,57C-10.2
1410,BTLB3030B065 - 3030 x 65 -  - BUSH,,BUSH,,3030,57C-10.3
1412,BTLB3535B0PB - 3535 x PB -  - BUSH,,BUSH,,3535,54B-10.1
1413,BTLB3535B032 - 3535 x 32 -  - BUSH,,BUSH,,3535,54B-10.2
1422,BTLB3535B055 - 3535 x 55 -  - BUSH,,BUSH,,3535,54A-10
1425,BTLB3535B065 - 3535 x 65 -  - BUSH,,BUSH,,3535,55C-10
1426,BTLB3535B070 - 3535 x 70 -  - BUSH,,BUSH,,3535,55D-10
1428,BTLB3535B075 - 3535 x 75 -  - BUSH,,BUSH,,3535,55E-10
1429,BTLB3535B080 - 3535 x 80 -  - BUSH,,BUSH,,3535,55E-20
1431,BTLB3535B090 - 3535 x 90 -  - BUSH,,BUSH,,3535,55C-20
1432,BTLB4040B0PB - 4040 x P/B -  - BUSH,,BUSH,,4040,55B-20
1440,BTLB4040B085 - 4040 x 85 -  - BUSH,,BUSH,,4040,55C-30
1443,BTLB4040B100 - 4040 x 100 -  - BUSH,,BUSH,,4040,55A-30.2
1445,BTLB4545B0PB - 4545 X P/B -  - BUSH,,BUSH,,4545,56A-30.1
1451,BTLB4545B085 - 4545 X 85 -  - BUSH,,BUSH,,4545,56C-30.2
1452,BTLB4545B090 - 4545 x 90 -  - BUSH,,BUSH,,4545,56D-30
1453,BTLB4545B095 - 4545 x 95 -  - BUSH,,BUSH,,4545,56E-30.2
1456,BTLB4545B110 - 4545 x 110 -  - BUSH,,BUSH,,4545,56E-30.3
1457,BTLB5050B0PB - 5050 x PB -  - BUSH,,BUSH,,5050,56A-10
1468,BTLB5050B105 - 5050 x 105 -  - BUSH,,BUSH,,5050,56C-20.1
1469,BTLB5050B110 - 5050 x 110 -  - BUSH,,BUSH,,5050,56D-20.1
